epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.19464,1.82732,6.05688,1.65159,0.00078,0.05556,0.00113,0.00079,1.28524,5.32547,1.34194,7.68e-06,7.68e-06,7.68e-06
2,3.04852,1.85981,6.24829,1.68147,0.00089,0.05556,0.00127,0.00068,1.25621,5.19302,1.32552,1.78609e-05,1.78609e-05,1.78609e-05
3,4.03043,1.69544,5.28286,1.51289,0.00251,0.05556,0.00227,0.00189,1.02855,4.87639,1.1817,2.79741e-05,2.79741e-05,2.79741e-05
4,5.13481,1.16419,4.67628,1.20768,0.03119,0.27778,0.0439,0.0299,0.86938,4.5117,1.06871,3.80198e-05,3.80198e-05,3.80198e-05
5,6.18971,0.95739,4.12111,1.10831,0.38921,0.13889,0.10032,0.07266,0.80432,4.30374,1.04199,4.7998e-05,4.7998e-05,4.7998e-05
6,7.25436,0.87885,3.90042,1.04441,0.54743,0.16667,0.11833,0.08884,0.78313,4.0828,1.02938,5.79085e-05,5.79085e-05,5.79085e-05
7,8.31366,0.85251,3.60544,1.01945,0.05171,0.5,0.15843,0.12692,0.76447,3.77511,1.02096,6.77514e-05,6.77514e-05,6.77514e-05
8,9.30802,0.82387,3.31524,1.0251,0.52902,0.21519,0.21902,0.18508,0.69857,3.68516,0.96943,7.75268e-05,7.75268e-05,7.75268e-05
9,10.3598,0.83154,3.14603,1.04478,0.70685,0.21663,0.26557,0.22428,0.70433,3.60729,0.9809,8.72346e-05,8.72346e-05,8.72346e-05
10,11.4372,0.81792,2.86019,1.01552,0.128,0.49655,0.34274,0.30021,0.7081,3.40452,0.99397,9.68748e-05,9.68748e-05,9.68748e-05
11,12.4774,0.76125,2.64031,0.98897,0.2631,0.41183,0.35261,0.29825,0.70293,3.25172,0.98991,0.000106447,0.000106447,0.000106447
12,13.477,0.73834,2.42958,0.98678,0.2665,0.56219,0.36994,0.32139,0.6844,3.26876,0.97438,0.000115952,0.000115952,0.000115952
13,14.542,0.71524,2.2848,0.98928,0.42588,0.41667,0.43885,0.38631,0.66841,2.7046,0.96624,0.00012539,0.00012539,0.00012539
14,15.6697,0.72709,2.19091,0.98115,0.36884,0.62551,0.49052,0.42267,0.68092,2.61765,0.9798,0.00013476,0.00013476,0.00013476
15,16.7175,0.72578,2.15564,0.9811,0.52039,0.59907,0.62957,0.54035,0.70638,2.12608,1.01417,0.000144062,0.000144062,0.000144062
16,17.7655,0.70096,2.04072,0.96565,0.56271,0.63267,0.67817,0.5793,0.70361,2.01988,1.02753,0.000153297,0.000153297,0.000153297
17,18.8023,0.70784,1.96158,0.98122,0.62921,0.63093,0.74382,0.63215,0.70917,1.90285,1.0315,0.000162464,0.000162464,0.000162464
18,19.8709,0.65146,1.72362,0.94666,0.55782,0.78787,0.83693,0.70537,0.70399,1.5414,1.01833,0.000171563,0.000171563,0.000171563
19,20.8877,0.66114,1.69303,0.9623,0.61763,0.85755,0.84863,0.71429,0.71076,1.3711,1.02748,0.000180595,0.000180595,0.000180595
20,21.9193,0.64576,1.64063,0.94376,0.59154,0.87233,0.83904,0.70321,0.7266,1.26504,1.04333,0.00018956,0.00018956,0.00018956
21,22.8872,0.66326,1.52142,0.94392,0.65536,0.85162,0.88958,0.72286,0.82187,1.16826,1.11821,0.000198456,0.000198456,0.000198456
22,23.8945,0.66654,1.44067,0.96566,0.80117,0.75914,0.90374,0.73413,0.81306,1.1767,1.10273,0.000207286,0.000207286,0.000207286
23,24.9447,0.65179,1.39112,0.93258,0.70423,0.83258,0.91074,0.74907,0.7682,1.18959,1.06344,0.000216047,0.000216047,0.000216047
24,25.9456,0.63773,1.31647,0.95431,0.64007,0.86059,0.9252,0.78918,0.66404,1.15473,0.99186,0.000224741,0.000224741,0.000224741
25,26.9668,0.64698,1.31014,0.9392,0.65087,0.86905,0.9196,0.78298,0.65613,1.02942,0.97923,0.000233368,0.000233368,0.000233368
26,27.8849,0.61749,1.19055,0.94548,0.70642,0.90219,0.90898,0.76371,0.69199,1.00127,1.00419,0.00023488,0.00023488,0.00023488
27,28.7959,0.63612,1.13052,0.94772,0.72808,0.9157,0.91352,0.76367,0.72851,0.97502,1.0318,0.000234035,0.000234035,0.000234035
28,29.699,0.63311,1.20149,0.92903,0.79617,0.88234,0.95796,0.79365,0.75439,0.8571,1.04183,0.00023319,0.00023319,0.00023319
29,30.7619,0.62685,1.14565,0.93195,0.8427,0.94981,0.97657,0.80782,0.74532,0.77455,1.03658,0.000232346,0.000232346,0.000232346
30,31.8277,0.62404,1.05516,0.94681,0.80587,0.94565,0.97648,0.81037,0.71909,0.76558,1.01988,0.000231501,0.000231501,0.000231501
31,32.8129,0.64619,1.07224,0.9444,0.81079,0.91262,0.97648,0.81695,0.70825,0.74792,1.01739,0.000230656,0.000230656,0.000230656
32,33.7876,0.61015,0.9435,0.91156,0.78777,0.94245,0.98111,0.80575,0.7539,0.71889,1.05242,0.000229811,0.000229811,0.000229811
33,34.7019,0.60784,1.00095,0.93737,0.79709,0.92918,0.98111,0.80125,0.74658,0.69916,1.05349,0.000228966,0.000228966,0.000228966
34,35.6589,0.5935,0.95451,0.92533,0.90162,0.85871,0.98574,0.81179,0.71334,0.70533,1.04125,0.000228122,0.000228122,0.000228122
35,36.5921,0.58445,0.88874,0.94617,0.85423,0.90491,0.98574,0.83308,0.69344,0.7402,1.0213,0.000227277,0.000227277,0.000227277
36,37.596,0.59004,0.89942,0.93932,0.82297,0.94847,0.98574,0.83093,0.71262,0.69972,1.02856,0.000226432,0.000226432,0.000226432
37,38.5294,0.58016,0.85211,0.93644,0.89881,0.9435,0.98574,0.83097,0.72114,0.61664,1.02842,0.000225587,0.000225587,0.000225587
38,39.4846,0.58095,0.76808,0.9355,0.91045,0.9335,0.98574,0.83111,0.70947,0.60124,1.02099,0.000224742,0.000224742,0.000224742
